2019-03-13 19:31:32,713 INFO  FilterInvocationSecurityMetadataSourceParser:  Creating access control expression attribute 'hasRole('ROLE_USER')' for /welcome
2019-03-13 19:31:32,757 INFO  HttpSecurityBeanDefinitionParser:  Checking sorted filter chain: [Root bean: class [org.springframework.security.web.context.SecurityContextPersistenceFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 200, Root bean: class [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 400, Root bean: class [org.springframework.security.web.header.HeaderWriterFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 500, Root bean: class [org.springframework.security.web.csrf.CsrfFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 700, Root bean: class [org.springframework.security.web.authentication.logout.LogoutFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 800, <org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter#0>, order = 1200, Root bean: class [org.springframework.security.web.authentication.www.BasicAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1600, Root bean: class [org.springframework.security.web.savedrequest.RequestCacheAwareFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 1700, Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.security.config.http.HttpConfigurationBuilder$SecurityContextHolderAwareRequestFilterBeanFactory#0; factoryMethodName=getBean; initMethodName=null; destroyMethodName=null, order = 1800, Root bean: class [org.springframework.security.web.authentication.AnonymousAuthenticationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2100, Root bean: class [org.springframework.security.web.session.SessionManagementFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2200, Root bean: class [org.springframework.security.web.access.ExceptionTranslationFilter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null, order = 2300, <org.springframework.security.web.access.intercept.FilterSecurityInterceptor#0>, order = 2400]
2019-03-13 19:31:33,884 INFO  LocalContainerEntityManagerFactoryBean:  Building JPA container EntityManagerFactory for persistence unit 'default'
2019-03-13 19:31:33,941 INFO  LogHelper:  HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-03-13 19:31:34,173 INFO  Version:  HHH000412: Hibernate Core {4.3.11.Final}
2019-03-13 19:31:34,179 INFO  Environment:  HHH000206: hibernate.properties not found
2019-03-13 19:31:34,183 INFO  Environment:  HHH000021: Bytecode provider name : javassist
2019-03-13 19:31:34,683 INFO  Version:  HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2019-03-13 19:31:34,959 INFO  Dialect:  HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-03-13 19:31:35,313 INFO  ASTQueryTranslatorFactory:  HHH000397: Using ASTQueryTranslatorFactory
2019-03-13 19:31:35,466 INFO  Version:  HV000001: Hibernate Validator 6.0.10.Final
2019-03-13 19:31:37,011 INFO  LocalContainerEntityManagerFactoryBean:  Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-03-13 19:31:37,361 INFO  RequestMappingHandlerMapping:  Mapped "{[/search_fast],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.iliashenko.account.web.SearchController.searchFasterstWay(java.lang.Integer,java.lang.Integer,org.springframework.web.servlet.mvc.support.RedirectAttributes)
2019-03-13 19:31:37,363 INFO  RequestMappingHandlerMapping:  Mapped "{[/way],methods=[GET]}" onto public java.lang.String com.iliashenko.account.web.SearchController.showWay(java.util.List<com.iliashenko.account.model.BusStop>)
2019-03-13 19:31:37,363 INFO  RequestMappingHandlerMapping:  Mapped "{[/search_fast],methods=[GET]}" onto public java.lang.String com.iliashenko.account.web.SearchController.searchForm(org.springframework.ui.Model)
2019-03-13 19:31:37,367 INFO  RequestMappingHandlerMapping:  Mapped "{[/statistics],methods=[GET]}" onto public java.lang.String com.iliashenko.account.web.TableController.statisticsTable(org.springframework.ui.Model)
2019-03-13 19:31:37,368 INFO  RequestMappingHandlerMapping:  Mapped "{[/ || /welcome],methods=[GET]}" onto public java.lang.String com.iliashenko.account.web.TableController.routesTable(org.springframework.ui.Model)
2019-03-13 19:31:37,368 INFO  RequestMappingHandlerMapping:  Mapped "{[/bus_route],methods=[GET]}" onto public java.lang.String com.iliashenko.account.web.TableController.busRoute(int,org.springframework.ui.Model)
2019-03-13 19:31:37,369 INFO  RequestMappingHandlerMapping:  Mapped "{[/bus_stop],methods=[GET]}" onto public java.lang.String com.iliashenko.account.web.TableController.busStop(int,org.springframework.ui.Model)
2019-03-13 19:31:37,369 INFO  RequestMappingHandlerMapping:  Mapped "{[/bus_log],methods=[GET]}" onto public java.lang.String com.iliashenko.account.web.TableController.busLog(org.springframework.ui.Model)
2019-03-13 19:31:37,372 INFO  RequestMappingHandlerMapping:  Mapped "{[/registration],methods=[GET]}" onto public java.lang.String com.iliashenko.account.web.UserController.registration(org.springframework.ui.Model)
2019-03-13 19:31:37,373 INFO  RequestMappingHandlerMapping:  Mapped "{[/registration],methods=[POST]}" onto public java.lang.String com.iliashenko.account.web.UserController.registration(com.iliashenko.account.model.User,org.springframework.validation.BindingResult,org.springframework.ui.Model)
2019-03-13 19:31:37,374 INFO  RequestMappingHandlerMapping:  Mapped "{[/login],methods=[GET]}" onto public java.lang.String com.iliashenko.account.web.UserController.login(org.springframework.ui.Model,java.lang.String,java.lang.String)
